City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,Inhambane,-23.86,35.38,68.0,72,20,3.36,MZ,2020-06-29 17:20:23
116,Bredasdorp,-34.53,20.04,59.0,82,83,6.93,ZA,2020-06-29 17:11:23
117,Codrington,-38.27,141.97,42.1,90,95,9.53,AU,2020-06-29 17:11:54
118,Nikolskoye,59.7,30.79,71.6,43,88,6.71,RU,2020-06-29 17:11:47
119,Praya,14.92,-23.51,86.0,51,20,17.22,CV,2020-06-29 17:11:15
120,Chuncheng,22.17,111.79,76.89,89,98,2.37,CN,2020-06-29 17:20:23
121,Portland,45.52,-122.68,62.01,72,75,5.82,US,2020-06-29 17:09:18
122,Pisco,-13.7,-76.22,64.99,82,90,6.93,PE,2020-06-29 17:06:50
123,Lashio,22.93,97.75,69.73,99,50,1.5,MM,2020-06-29 17:20:23
124,Shitanjing,39.23,106.34,72.43,36,0,4.47,CN,2020-06-29 17:20:23
125,Torbay,47.67,-52.73,68.0,77,90,10.29,CA,2020-06-29 17:11:28
126,Alofi,-19.06,-169.92,75.2,88,75,5.82,NU,2020-06-29 17:12:27
127,Upernavik,72.79,-56.15,39.92,72,100,5.28,GL,2020-06-29 17:11:43
128,Petauke,-14.24,31.33,72.99,34,88,8.46,ZM,2020-06-29 17:20:24
129,Tolaga Bay,-38.37,178.3,50.79,94,100,6.62,NZ,2020-06-29 17:20:24
130,Sesheke,-17.48,24.3,71.6,26,0,1.12,ZM,2020-06-29 17:20:24
131,Santa Cruz Del Norte,23.15,-81.92,89.6,59,40,3.36,CU,2020-06-29 17:20:24
132,College,64.86,-147.8,55.0,81,75,6.11,US,2020-06-29 17:11:48
133,Santa Isabel,-23.32,-46.22,69.8,68,20,11.41,BR,2020-06-29 17:20:24
134,Saint-Joseph,-21.37,55.62,70.0,77,27,3.36,RE,2020-06-29 17:20:24
135,Nivala,63.92,24.97,70.0,56,69,8.01,FI,2020-06-29 17:20:25
136,Tiznit,29.58,-9.5,84.38,41,0,8.79,MA,2020-06-29 17:12:27
137,Pacifica,37.61,-122.49,68.0,63,1,5.82,US,2020-06-29 17:17:32
138,Ihiala,5.85,6.86,76.59,91,88,6.58,NG,2020-06-29 17:20:25
139,Wattegama,6.8,81.48,80.19,72,73,8.63,LK,2020-06-29 17:20:06
140,Gimli,50.63,-96.99,86.0,44,71,5.99,CA,2020-06-29 17:20:25
141,Japura,-0.32,102.35,75.61,91,60,2.44,ID,2020-06-29 17:20:25
142,Spirovo,57.42,34.98,61.97,67,0,5.41,RU,2020-06-29 17:20:25
143,La Tuque,47.43,-72.78,64.42,90,100,3.15,CA,2020-06-29 17:20:25
144,Souillac,-20.52,57.52,69.8,88,75,2.24,MU,2020-06-29 17:11:14
145,Kangaatsiaq,68.31,-53.46,40.15,89,85,5.39,GL,2020-06-29 17:20:26
146,Tuatapere,-46.13,167.68,39.0,83,95,3.0,NZ,2020-06-29 17:11:41
147,Vila Velha,-20.33,-40.29,71.6,88,90,11.41,BR,2020-06-29 17:11:27
148,Peterborough,52.57,-0.25,60.8,59,100,21.92,GB,2020-06-29 17:20:26
149,Broken Hill,-31.95,141.43,41.0,65,0,9.17,AU,2020-06-29 17:20:26
150,Yarmouth,41.71,-70.23,75.99,90,99,14.54,US,2020-06-29 17:20:26
151,Qaanaaq,77.48,-69.36,44.1,61,0,4.25,GL,2020-06-29 17:11:14
152,Kutum,14.2,24.67,84.45,30,84,7.45,SD,2020-06-29 17:20:26
153,Priargunsk,50.37,119.1,60.08,76,42,3.38,RU,2020-06-29 17:15:31
154,Balabac,7.99,117.06,82.58,81,100,10.18,PH,2020-06-29 17:20:27
155,Santa Cruz,-17.8,-63.17,73.4,60,40,14.99,BO,2020-06-29 17:16:07
156,Caravelas,-17.71,-39.25,76.89,71,44,14.14,BR,2020-06-29 17:20:27
157,Amapa,1.0,-52.0,82.99,87,14,2.84,BR,2020-06-29 17:20:27
158,Kushiro,42.98,144.37,54.25,91,100,2.91,JP,2020-06-29 17:20:27
159,Muisne,0.6,-80.03,82.4,78,75,8.05,EC,2020-06-29 17:16:05
160,Pevek,69.7,170.31,32.2,95,37,3.51,RU,2020-06-29 17:11:40
161,Juneau,58.3,-134.42,53.01,87,90,1.41,US,2020-06-29 17:20:27
162,Kedrovyy,56.17,91.82,53.6,93,40,4.47,RU,2020-06-29 17:20:27
163,Berlevag,70.86,29.09,40.69,73,85,13.4,NO,2020-06-29 17:11:46
164,Quelimane,-17.88,36.89,75.2,88,75,10.29,MZ,2020-06-29 17:12:03
165,Kabo,7.7,18.63,76.84,87,90,4.52,CF,2020-06-29 17:20:28
166,Qaqortoq,60.72,-46.03,53.6,54,40,11.41,GL,2020-06-29 17:19:44
167,Madisonville,37.33,-87.5,88.0,62,40,6.93,US,2020-06-29 17:18:47
168,Muros,42.78,-9.06,77.0,48,11,11.01,ES,2020-06-29 17:12:06
169,Kodiak,57.79,-152.41,50.0,81,1,3.58,US,2020-06-29 17:10:27
